action;lengthDependency;LLMAnswer
A maintenance worker is cleaning up litter.;FALSE;FALSE
A group of friends is having a barbecue.;FALSE;FALSE
A gardener is raking leaves off the pathway.;TRUE;FALSE
A person is walking with a guide dog.;FALSE;FALSE
A cyclist is using hand signals to indicate turns.;FALSE;FALSE
A student is playing guitar on a bench.;FALSE;FALSE
A jogger is wearing reflective gear for safety.;FALSE;FALSE
A person is walking with crutches.;FALSE;FALSE
A maintenance worker is installing a new sign.;FALSE;FALSE
A gardener is trimming hedges along the path.;FALSE;FALSE
A person is walking with a cane.;FALSE;FALSE
A cyclist is carrying groceries in a basket.;FALSE;FALSE
A student is sketching a landscape.;FALSE;FALSE
A jogger is running with a dog on a leash.;FALSE;FALSE
A person is walking with a baby in a carrier.;FALSE;FALSE
A group of friends is birdwatching.;FALSE;FALSE
A maintenance worker is fixing a bench.;FALSE;FALSE
A gardener is mulching the flower beds.;FALSE;FALSE
A person is walking with a child holding their hand.;FALSE;FALSE
A cyclist is adjusting their helmet.;FALSE;FALSE
