action,lengthDependency,LLMAnswer,Value
A cyclist is using hand signals to indicate turns.,FALSE,FALSE,5
A student is playing guitar on a bench.,FALSE,FALSE,5
A jogger is wearing reflective gear for safety.,FALSE,FALSE,0
A person is walking with crutches.,FALSE,FALSE,15
A maintenance worker is installing a new sign.,FALSE,FALSE,10
A gardener is trimming hedges along the path.,FALSE,FALSE,5
A person is walking with a cane.,FALSE,FALSE,5
A cyclist is carrying groceries in a basket.,FALSE,FALSE,1
A student is sketching a landscape.,FALSE,FALSE,1
A jogger is running with a dog on a leash.,FALSE,FALSE,1
A person is walking with a baby in a carrier.,FALSE,FALSE,15
A group of friends is birdwatching.,FALSE,FALSE,0
A maintenance worker is fixing a bench.,FALSE,FALSE,1
A gardener is mulching the flower beds.,FALSE,FALSE,5
A person is walking with a child holding their hand.,FALSE,FALSE,2
A cyclist is adjusting their helmet.,FALSE,FALSE,1
